Le Roy Ave=1536=	-122.2605054	37.88055529	-601.832	538.158
Le Roy Ave=1526=	-122.26053071	37.88094643	-570.652	324.262
Le Roy Ave=1520=	-122.26053558	37.88110022	-556.093	239.757
Le Roy Ave=1581=	-122.25918011	37.88075632	-11.4136	270.696
Le Roy Ave=1521=	-122.26005225	37.881236	-322.566	126.34
Le Roy Ave=1516=	-122.26066846	37.88124237	-600.733	171.865
Le Roy Ave=1517=	-122.26007034	37.88137284	-315.837	52.2441
Le Roy Ave=1514=	-122.26068117	37.88137954	-591.533	97.1583
Le Roy Ave=1509=	-122.26010056	37.88150619	-314.978	-18.9604
Le Roy Ave=1508=	-122.26069873	37.881516	-584.606	23.2295
Le Roy Ave=1505=	-122.2601146	37.88162549	-364.533	-235.026
Le Roy Ave=1504=	-122.2607155	37.88165415	-577.137	-51.695
Le Roy Ave=1501=	-122.26013011	37.88176615	-364.189	-306.588
Le Roy Ave=1500=	-122.26067001	37.88179459	-541.243	-132.839
Le Roy Ave=1497=	-122.26015375	37.88193296	-366.003	-391.851
Le Roy Ave=1635=	-122.2584486	37.87929025	191.07	1072.77
Le Roy Ave=1637=	-122.2584486	37.87929025	191.07	1072.77
Euclid Ave=1841=	-122.25998365	37.87558085	-907.923	3242.54
Euclid Ave=1820=	-122.260543	37.87555477	-1163.89	3301.45
Euclid Ave=1829=	-122.26004017	37.87568799	-921.822	3187.9
Euclid Ave=1804=	-122.26059595	37.87580237	-1160.87	3168.99
Euclid Ave=1801=	-122.26007089	37.87584751	-918.337	3102.28
Euclid Ave=1799=	-122.26006222	37.87630862	-864.153	2847.06
Euclid Ave=1777=	-122.26010315	37.87652617	-858.963	2730.23
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1712=	-122.26082809	37.87716133	-1117.8	2437.31
Euclid Ave=1708=	-122.26087774	37.8774	-1114.25	2309.52
Euclid Ave=1727=	-122.26027147	37.87733018	-847.499	2299.81
Euclid Ave=1717=	-122.26028213	37.87752117	-831.506	2195.23
Euclid Ave=1694=	-122.26093393	37.87795637	-1079.04	2006.87
Euclid Ave=1674=	-122.26103985	37.87811583	-1109.59	1927.28
Euclid Ave=1685=	-122.26049988	37.87810761	-866.126	1888.84
Euclid Ave=1668=	-122.26097799	37.8782428	-1067.76	1852.27
Euclid Ave=1675=	-122.26046798	37.87825381	-835.755	1805.6
Euclid Ave=1665=	-122.26049222	37.87837827	-833.158	1738.83
Euclid Ave=1652=	-122.26101196	37.87841341	-1064.53	1760.8
Euclid Ave=1640=	-122.26109523	37.87878576	-1061.63	1561.88
Euclid Ave=1631=	-122.2606767	37.87894763	-854.584	1439.22
Euclid Ave=1628=	-122.26113087	37.87895569	-1059.24	1470.92
Euclid Ave=1625=	-122.26064447	37.879088	-824.699	1359.17
Euclid Ave=1617=	-122.2607514	37.87921738	-858.987	1296.27
Euclid Ave=1595=	-122.26103455	37.87972809	-931.458	1036.89
Euclid Ave=1561=	-122.2610825	37.88020649	-901.012	776.625
Euclid Ave=1521=	-122.26120863	37.88081969	-891.254	448.175
Euclid Ave=1517=	-122.26120515	37.88095363	-875.08	373.962
Euclid Ave=1509=	-122.26107557	37.88109852	-800.646	283.67
Euclid Ave=1475=	-122.2612403	37.88174971	-804.215	-62.6785
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1561=	-122.2610825	37.88020649	-901.012	776.625
Euclid Ave=1665=	-122.26049222	37.87837827	-833.158	1738.83
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1663=	-122.26049222	37.87837827	-833.158	1738.83
Euclid Ave=1561=	-122.2610825	37.88020649	-901.012	776.625
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1595=	-122.26103455	37.87972809	-931.458	1036.89
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1561=	-122.2610825	37.88020649	-901.012	776.625
Euclid Ave=1767=	-122.26012429	37.87663103	-857.1	2674.03
Euclid Ave=1599=	-122.26103455	37.87972809	-931.458	1036.89
Euclid Ave=1561=	-122.2610825	37.88020649	-901.012	776.625
La Loma Ave=1863=	-122.25660045	37.87587712	602.387	2947.62
La Loma Ave=1811=	-122.25658903	37.87600731	620.602	2882.52
La Loma Ave=1770=	-122.25724598	37.87669796	423.165	2494.86
La Loma Ave=1731=	-122.25677437	37.87691424	638.93	2413.43
La Loma Ave=1730=	-122.25742237	37.87706155	388.674	2300.77
La Loma Ave=1717=	-122.2564695	37.87759916	835.08	2085.41
La Loma Ave=1715=	-122.25652722	37.87775697	827.831	2002.28
La Loma Ave=1709=	-122.25663964	37.87788324	794.885	1931.86
La Loma Ave=1700=	-122.25725785	37.87797637	551.176	1846.91
La Loma Ave=1705=	-122.25670567	37.87808562	788.864	1825.73
La Loma Ave=1688=	-122.25736154	37.87847946	560.659	1571.1
La Loma Ave=1680=	-122.25738433	37.87859393	563.152	1508.81
La Loma Ave=1683=	-122.25677832	37.87859608	812.42	1562.82
La Loma Ave=1658=	-122.25735294	37.87882144	599.605	1393.47
La Loma Ave=1675=	-122.25685841	37.87885441	806.03	1422.01
La Loma Ave=1644=	-122.25778029	37.87920618	463.644	1155.09
La Loma Ave=1647=	-122.25730175	37.87925248	665.269	1174.17
La Loma Ave=1634=	-122.25789008	37.87933034	430.068	1084.21
La Loma Ave=1628=	-122.25787225	37.87945598	449.77	1022.3
La Loma Ave=1633=	-122.25728609	37.87939792	686.763	1100.02
La Loma Ave=1621=	-122.25740985	37.8795692	653.351	1000.54
La Loma Ave=1600=	-122.25793481	37.87958986	436.807	950.127
La Loma Ave=1546=	-122.25802751	37.88015106	447.068	660.879
La Loma Ave=1542=	-122.25817777	37.88027256	389.391	588.697
La Loma Ave=1530=	-122.25834697	37.88053339	330.54	445.36
La Loma Ave=1525=	-122.25792892	37.88070129	515.876	393.009
La Loma Ave=1521=	-122.25791344	37.88092287	533.325	283.301
La Loma Ave=1514=	-122.25859315	37.88114739	256.441	119.464
La Loma Ave=1515=	-122.25801092	37.88117213	504.286	151.187
La Loma Ave=1512=	-122.25864356	37.8813685	245.957	5.00093
La Loma Ave=1508=	-122.25861806	37.88152144	264.276	-69.5995
La Loma Ave=1509=	-122.25791183	37.88164112	569.313	-75.9926
La Loma Ave=1717=	-122.2564695	37.87759916	835.08	2085.41
